Order,Number of Parameters,AIC,BIC,Log-Likelihood,Deviance R^2,Cox-Snell R^2,Nagelkerke R^2,Sum of Squared Residuals,CV Brier,CV AUC
1,5,473267.2092672865,473323.3005342319,-236628.60463364326,0.2153040998781166,0.11128502892563985,0.26378746642526446,504482.07919884863,0.1400173538446337,0.82511141186658
2,15,444341.79628886346,444510.0700896996,-222155.89814443173,0.2632977626195019,0.13435247722942867,0.31846601396842156,461330.2434346041,0.133040289847528,0.8405262916085293
3,35,438260.50584395515,438653.14471257274,-219095.25292197758,0.27344732066429434,0.13915348546863404,0.329846213191383,469537.73386149027,0.1318120299976327,0.8420476312699222
4,70,436968.2585908589,437753.5363280941,-218414.12929542945,0.27570602864279914,0.14021828641959588,0.33237019281211994,473350.25692698406,0.131568572226281,0.8425210185246395
5,126,436425.67274416075,437839.17267118406,-218086.83637208038,0.2767913810053697,0.14072947503561595,0.33358190251995024,480124.5930583248,0.1314633641196324,0.8426117806249621
6,210,436314.76004392735,438670.59325563285,-217947.38002196368,0.2772538391530309,0.1409471952111917,0.33409798140368907,481677.22658571735,0.1314502486275108,0.8425859805564448
7,330,436363.95576484647,440065.9793832408,-217851.97788242323,0.27757020693906487,0.14109610588327737,0.33445095582704487,481999.6108304101,0.131486500913736,0.8424597744413367
8,495,436404.40053468116,441957.43596227263,-217707.20026734058,0.278050311198483,0.1413220361198091,0.3349864956499566,482848.5247345872,0.1315431839640684,0.8423022410815235
