Order,Number of Parameters,AIC,BIC,Log-Likelihood,Deviance R^2,Cox-Snell R^2,Nagelkerke R^2,Sum of Squared Residuals,CV Brier,CV AUC
1,5,281330.44291217846,281386.5341791238,-140660.22145608923,0.2902226078261957,0.09923594873409769,0.3281611045768283,389089.3726615923,0.078721492124965,0.8882290767730117
2,15,259282.68018572094,259450.95398655706,-129626.34009286047,0.34590003715537165,0.11711639386776584,0.38728954240848845,339952.30215377634,0.0745856513743243,0.8998816233577557
3,35,254348.605295642,254741.24416425958,-127139.302647821,0.35844973268197644,0.1210973765937754,0.40045416375119436,339454.6466885937,0.0736580284758374,0.9013317516832088
4,70,253268.3642805132,254053.64201774835,-126564.1821402566,0.36135181494673496,0.12201540938412003,0.4034899855311067,339130.6703957245,0.0734960723260428,0.9016139567159708
5,126,252974.5498834277,254388.049810451,-126361.27494171385,0.36237569320274865,0.12233906994299426,0.4045602912808176,339848.2368991806,0.0734410942466382,0.9016920788886004
6,210,252867.79210011748,255223.62531182295,-126223.89605005874,0.3630689128667681,0.12255813749756761,0.40528472080059136,339171.05309108994,0.073427497114212,0.9016568731528728
7,330,252913.92844998356,256615.95206837787,-126126.96422499178,0.3635580349320008,0.12271267432281696,0.40579575511747495,340762.6690509332,0.0734888883154711,0.90150220157972
8,495,252945.19477002378,258498.23019761525,-125977.59738501189,0.3643117462873555,0.12295075415318901,0.40658305590019533,340026.9066761925,,
