fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-18635.384021677233,0.05315327901318042,0.9232709236296066
2,440255,110064,-18741.686111350475,0.05339015574542643,0.9234955168866827
3,440255,110064,-18852.206135185614,0.0535927619818693,0.9224286948808977
4,440255,110064,-18871.718522294617,0.0536123583377087,0.9237993828449986
5,440256,110063,-18720.91626727467,0.053303486588169316,0.9230148630089612
