fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-25306.223044830876,0.07347744539610723,0.9007242003207647
2,440255,110064,-25233.780334097897,0.0733316807796501,0.9025211393017625
3,440255,110064,-25378.8214557923,0.07375019314764979,0.9011568180452566
4,440255,110064,-25379.493910502904,0.07326149996916922,0.9016344064695605
5,440256,110063,-25238.51254135918,0.07331666627848388,0.9022478016270191
