fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-43882.89186291148,0.13204252325823398,0.8406579168082315
2,440255,110064,-43472.379091647876,0.13095427186545144,0.8441361184704215
3,440255,110064,-43564.35818435055,0.13137290379842964,0.8427966298966372
4,440255,110064,-43669.57170889522,0.13146553085772172,0.8417860029354955
5,440256,110063,-43658.297566305504,0.13148159081832533,0.8436822350140252
