fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-18531.77016080178,0.05300069471451605,0.9233767641919463
2,440255,110064,-18646.54018468146,0.05319430544024419,0.9237562317186155
3,440255,110064,-18706.183635682915,0.05340467882054615,0.9229306648615613
4,440255,110064,-18823.163956241926,0.05348915116179645,0.9239656078375537
5,440256,110063,-18636.552474724012,0.053178329416464803,0.9232459825756811
