fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-43930.80355323498,0.13215348838442473,0.8405516906519122
2,440255,110064,-43523.78087862271,0.13105861288316595,0.8440103976971824
3,440255,110064,-43643.45050588945,0.13153163049684197,0.8426553442783917
4,440255,110064,-43696.22476711949,0.1315332781522024,0.8418507084771419
5,440256,110063,-43711.254258457164,0.13156585121477005,0.8435369515185694
