fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-18612.24022466204,0.05303127072969443,0.923285577888554
2,440255,110064,-18668.487687243964,0.05327484238839249,0.9235453638951796
3,440255,110064,-18733.986117171506,0.05346097945349173,0.9227626808502838
4,440255,110064,-18933.24571379279,0.05350057903266968,0.9236633012658987
5,440256,110063,-18649.935743772294,0.053212955004562884,0.9230817180806706
