fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-20868.271962914598,0.057110865339668845,0.9125354640403212
2,440255,110064,-20938.58295802607,0.05718365646622982,0.9119392058554159
3,440255,110064,-21058.337429905827,0.05748428711558789,0.9109947595848921
4,440255,110064,-21030.774084171248,0.0574377663490303,0.9125057666368477
5,440256,110063,-20876.620315732336,0.05694223840417212,0.9121719563617383
