fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-18541.273153350325,0.053014959149784296,0.9233629093788756
2,440255,110064,-18653.0588529633,0.05321766755200569,0.9237598436118094
3,440255,110064,-18732.939423422387,0.05347152471548428,0.9228123589775287
4,440255,110064,-18814.07364863286,0.05350775043662688,0.9239886830874224
5,440256,110063,-18660.197029453026,0.053210320665541995,0.9231212165567207
