fold,n_train,n_val,log_likelihood,brier_score,auc
1,440255,110064,-44597.5651090883,0.1335117657163174,0.8388260534382426
2,440255,110064,-44262.274794877885,0.13249576518030717,0.842079759221962
3,440255,110064,-44416.52238042052,0.13307819791962688,0.8405995323863908
4,440255,110064,-44451.04488004677,0.13308285539765952,0.839641470209489
5,440256,110063,-44446.06137058461,0.1330328650237292,0.8414846427865625
