Order,Number of Parameters,AIC,BIC,Log-Likelihood,Deviance R^2,Cox-Snell R^2,Nagelkerke R^2,Sum of Squared Residuals,CV Brier,CV AUC
1,3,154441.32125783703,154474.97601800426,-77217.66062891851,0.1034222459266515,0.016055292653915143,0.11082671767730008,3787141.3095646985,,
2,6,154398.7631997691,154466.07272010355,-77193.38159988455,0.10370415083214923,0.016098701467987864,0.11112636069755799,3747747.411860171,,
3,10,154084.61137224454,154196.79390613528,-77032.30568612227,0.10557441056055927,0.01638664284266622,0.11311396678652644,3825509.830455827,,
4,15,153852.0625055675,154020.33630640362,-76911.03125278375,0.10698253349750886,0.01660337897162989,0.11461005622524931,3868322.892283674,,
5,21,153617.44744080826,153853.03076197882,-76787.72372040413,0.10841426283948585,0.016823699597641073,0.11613088878456569,3816887.7608445426,,
