Order,Number of Parameters,AIC,BIC,Log-Likelihood,Deviance R^2,Cox-Snell R^2,Nagelkerke R^2,Sum of Squared Residuals,CV Brier,CV AUC
1,3,542897.4249777144,542931.0797378817,-271445.7124888572,0.01045085351245656,0.00519579691454386,0.013236514792292304,395997.27188446885,,
2,6,534796.7837048311,534864.0932251656,-267392.3918524156,0.025227141336106818,0.012496012220581165,0.0318341254138315,431916.06827288866,,
3,10,531446.0107574459,531558.1932913366,-265713.00537872297,0.03134930637761013,0.01550494517419354,0.03949951076367489,428461.06013282144,,
4,15,530606.4867860018,530774.7605868379,-265288.2433930009,0.03289776649723297,0.016264531399622806,0.041434589149970634,426716.33798135986,,
5,21,530482.127308256,530717.7106294265,-265220.063654128,0.03314631417842806,0.01638640012084569,0.04174505492792841,427957.9692076831,,
